cod;nome;período;valor
1100205;11;2023;211
1200401;12;2023;122
1302603;13;2023;976
1400100;14;2023;145
1501402;15;2023;336
1600303;16;2023;326
1721000;17;2023;119
2111300;21;2023;220
2211001;22;2023;273
2304400;23;2023;839
2408102;24;2023;201
2507507;25;2023;221
2611606;26;2023;672
2704302;27;2023;431
2800308;28;2023;180
2927408;29;2023;1496
3106200;31;2023;326
3205309;32;2023;105
3304557;33;2023;1351
3550308;35;2023;282
4106902;41;2023;241
4205407;42;2023;52
4314902;43;2023;317
5002704;50;2023;197
5103403;51;2023;104
5208707;52;2023;254
5300108;53;2023;347
